company_name,primary_role,domain,homepage_url,country_code,state_code,region,city,zipcode,address,status,short_description,category_list,category_group_list,funding_rounds,funding_total_usd,founded_on,first_funding_on,last_funding_on,closed_on,employee_count,email,phone,facebook_url,cb_url,logo_url,profile_image_url,twitter_url,uuid,created_at,updated_at
SPARK Schools,company,sparkschools.co.za,http://www.sparkschools.co.za,ZAF,,Johannesburg,Gauteng,2160,"360 Kent Avenue Ferndale, Johannesburg",operating,SPARK Schools is a network of affordable private schools implementing Africa’s first blended learning model for primary school students.,,,1,9000000,2012-01-01,2016-10-19,2016-10-19,,51-100,,+27 (0) 10 125 0600 ,https://www.facebook.com/1495463330666953,https://www.crunchbase.com/organization/spark-schools,https://www.crunchbase.com/organization/spark-schools/primary-image/raw,http://public.crunchbase.com/t_api_images/v1476868906/vlaxfoloylqn3lkdwaue.png,https://www.twitter.com/sparkschools,45c2d282-c289-0347-5d4d-67a068d7e6a2,2016-07-21 15:22:32.449948,2016-10-19 10:18:00.588076
BlackThorn Therapeutics,company,blackthornrx.com,http://www.blackthornrx.com/,USA,CA,SF Bay Area,South San Francisco,94080,329 Oyster Point Blvd 3rd Floor,operating,BlackThorn Therapeutics is a clinical-stage biopharmaceutical company,,,1,40000000,2013-01-01,2016-10-20,2016-10-20,,-,info@blackthornrx.com,,,https://www.crunchbase.com/organization/blackthorn-therapeutics,https://www.crunchbase.com/organization/blackthorn-therapeutics/primary-image/raw,http://public.crunchbase.com/t_api_images/v1477021386/dvgeubm6xrvqzv94q76d.png,,711bdeac-3cb7-c7ba-d4c8-5b9ff4b1b37a,2016-10-21 03:44:10.622796,2016-10-21 05:42:58.493976
"Bumpers, Inc.",company,bumpers.fm,http://www.bumpers.fm/,USA,NY,New York City,New York,,"",operating,"Bumpers develops an iOS app that allows users to make apodcast direct from their mobile devices, using the phone's built-in microphones.",,,1,1000000,2016-01-01,2016-10-20,2016-10-20,,-,hello@bumpers.fm,,https://www.facebook.com/bumpersfm,https://www.crunchbase.com/organization/bumpers,https://www.crunchbase.com/organization/bumpers/primary-image/raw,http://public.crunchbase.com/t_api_images/v1476980395/nhbshzaohzhi7n9ejqrn.jpg,https://www.twitter.com/bumpersfm,f9d73d3b-177c-21ad-1cad-366af1f94df4,2016-10-20 16:22:01.191618,2016-10-20 16:49:58.470605
Capricor Therapeutics,company,capricor.com,http://www.capricor.com,USA,CA,Los Angeles,Los Angeles,90048,"8700 Beverly Blvd, Davis Building, Room D-1063",operating,"Capricor Therapeutics is a biotechnology company focused on the discovery, development and commercialization.",biotechnology|medical|therapeutics,biotechnology|health care|science and engineering,10,60392001,2005-01-01,2009-07-08,2016-10-20,,11-50,info@capricor.com,(310) 358-3200,http://www.facebook.com/capricortherapeutics,https://www.crunchbase.com/organization/capricor,https://www.crunchbase.com/organization/capricor/primary-image/raw,http://public.crunchbase.com/t_api_images/v1474958035/xxf4xpclm28zuygfxdfy.png,https://www.twitter.com/capricor_news,266be32a-2ae7-87ff-4dcc-5672d4a54641,2010-01-07 03:52:23,2016-10-20 12:34:36.847364
Cardiogram,company,cardiogr.am,https://cardiogr.am,,,,,,,operating,"Cardiogram organize your mobile health data by making it meaningful, useful, and actionable.",apps|health care,apps|health care|software,1,2000000,2016-01-01,2016-10-20,2016-10-20,,-,hello@cardiogr.am,,,https://www.crunchbase.com/organization/cardiogram,https://www.crunchbase.com/organization/cardiogram/primary-image/raw,http://public.crunchbase.com/t_api_images/v1430732410/duvhjokqkyppsow52xnx.png,https://www.twitter.com/appcardiogram,56ea3d53-bc8c-fec3-c65b-925f4d80db17,2015-05-04 09:41:17,2016-10-17 00:09:10.201164
ChatOnGo,company,chatongo.com,http://chatongo.com/,IND,,Mumbai,Mumbai,400 010,"F-19, Prem Estate, Sant Savta Marg No.1, Opposite Union Bank of India,, Mustafa Bazar, Mazgaon",operating,ChatOnGo is a hyper local platform bringing vendors closer to their customers,,,1,300000,2016-01-01,2016-10-20,2016-10-20,,-,info@chatongo.com,+912223712314,https://www.facebook.com/chatongoapp,https://www.crunchbase.com/organization/chatongo,https://www.crunchbase.com/organization/chatongo/primary-image/raw,http://public.crunchbase.com/t_api_images/v1477043214/g5qt4mdte9vgpzdjlzfp.png,https://www.twitter.com/chatongoapp,6c30ec8c-d283-07ef-4874-634b1dbf86eb,2016-10-21 09:47:20.332998,2016-10-21 10:37:35.820271
CityFALCON,company,cityfalcon.com,http://www.cityfalcon.com,GBR,,London,London,E14 5AB,"One Canada Square, Level 39, Canary Wharf",operating,Democratising access to financial news,analytics|financial services,data and analytics|financial services,2,483701.885046304,2014-07-01,2015-03-23,2016-10-20,,11-50,contact@cityfalcon.com,+44 7809 618389,http://www.facebook.com/cityfalconfollow,https://www.crunchbase.com/organization/cityfalcon,https://www.crunchbase.com/organization/cityfalcon/primary-image/raw,http://public.crunchbase.com/t_api_images/v1476779215/ly7b41oylb3kpmwh2p4l.png,https://www.twitter.com/cityfalcon,c2ee6373-f9cf-2ee7-3919-7f94c2e34bc0,2014-07-18 10:22:17,2016-10-20 04:10:37.415939
Contorion,company,contorion.de,http://www.contorion.de,DEU,,Berlin,Berlin,10969,Friedrichstr 224,operating,"Contorion.de is a B2B online marketplace for maintenance, repair and operations (MRO) products",b2b|industrial|internet,internet services,2,,2014-01-01,2014-07-01,2016-10-20,,-,,,http://www.facebook.com/contorion.de,https://www.crunchbase.com/organization/contorion,https://www.crunchbase.com/organization/contorion/primary-image/raw,http://public.crunchbase.com/t_api_images/v1407518506/bvnytirzpy9wigidzs6d.png,https://www.twitter.com/contorionde,ebf1b549-40cb-fbe4-b5a8-2c706dee7d59,2014-08-08 17:23:00,2016-10-20 10:02:57.982909
CourseStorm,company,coursestorm.com,http://www.coursestorm.com,USA,ME,ME - Other,Orono,04473,148 Main Street,operating,Impossibly simple course registration,education,education,1,705296,2011-07-01,2016-10-20,2016-10-20,,11-50,contact@coursestorm.com,(207) 866-3908,https://www.facebook.com/coursestorm,https://www.crunchbase.com/organization/coursestorm,https://www.crunchbase.com/organization/coursestorm/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397184322/51bb6a608c0d4e8e8aed24cd8a587bfa.png,https://www.twitter.com/coursestorm,c5019228-8d89-0c4b-3d5a-16b9e9c379bb,2011-12-29 02:38:59,2016-10-21 06:06:22.319855
Ejiupi,company,yijiupi.com,http://www.yijiupi.com,CHN,,Shanghai,Shanghai,,"",operating,B2B platform in China's alcoholic industry,,,2,131381770.747796,2014-09-01,2015-09-10,2016-10-20,,-,,,,https://www.crunchbase.com/organization/ejiupi,https://www.crunchbase.com/organization/ejiupi/primary-image/raw,http://public.crunchbase.com/t_api_images/v1476682516/dlos189wknksm8nuektk.png,,7a551f83-f2a8-1fb9-8758-f4a42671e037,2016-10-17 05:46:36.858756,2016-10-21 05:06:17.649683
Emulate,company,emulatebio.com,http://emulatebio.com,USA,MA,Boston,Cambridge,02139,210 Broadway #201,operating,"Emulate, Inc. is a private company focused on commercializing Organs-on-Chips.",biotechnology|health care|medical,biotechnology|health care|science and engineering,3,57000000,2013-01-01,2014-07-28,2016-10-20,,11-50,,508-843-5324,,https://www.crunchbase.com/organization/emulate,https://www.crunchbase.com/organization/emulate/primary-image/raw,http://public.crunchbase.com/t_api_images/v1406550457/saevlnfhjycsj8ilvcad.png,,173c5854-80f4-bd91-977d-dd4445cdf0fd,2014-07-28 12:15:44,2016-10-20 11:32:02.132708
EnergySavvy,company,energysavvy.com,http://www.energysavvy.com,USA,WA,Seattle,Seattle,98104,159 S Jackson St #420,operating,"EnergySavvy provides utilities with cloud solutions to drive customer intelligence, engagement, and action.",cloud infrastructure|energy efficiency|software,energy|hardware|internet services|software|sustainability,6,30778058,2008-11-17,2009-07-01,2016-10-20,,51-100,contact@energysavvy.com,(877) 217-2685,http://www.facebook.com/energysavvy,https://www.crunchbase.com/organization/energysavvy-com,https://www.crunchbase.com/organization/energysavvy-com/primary-image/raw,http://public.crunchbase.com/t_api_images/v1448039114/fotohzxxd3tokrmbppzm.png,https://www.twitter.com/energysavvy,dba2c3b4-126a-5aa8-8a43-e80ecea7be68,2009-12-10 20:12:26,2016-10-20 03:36:36.107773
Feedzai,company,feedzai.com,http://www.feedzai.com,USA,CA,SF Bay Area,San Mateo,94402,"1875 South Grant Street, Suite 710",operating,"Feedzai, a data science company, offers software that uses big data analysis and machine-based learning to prevent fraud in commerce.",analytics|big data|fintech|information technology,data and analytics|financial services|information technology,5,26132243,2009-10-18,2011-05-06,2016-10-20,,51-100,info@feedzai.com,351 23 940 2166,https://www.facebook.com/feedzai,https://www.crunchbase.com/organization/feedzai,https://www.crunchbase.com/organization/feedzai/primary-image/raw,http://public.crunchbase.com/t_api_images/v1432491751/oermfrknucrvhmptebaw.png,https://www.twitter.com/feedzai,69d91137-499e-467f-ec47-c2e972e9e18a,2011-11-16 17:20:21,2016-10-20 03:46:29.169762
Flat6Labs,investor,flat6labs.com,http://www.flat6labs.com,EGY,,Cairo,Gîza,,"Dr. Mohamed Sobhy st., Second floor, Flat 6",operating,Flat6Labs is Sawari Ventures’ dedicated startup accelerator for seed stage investments.,apps|finance|software|training|venture capital,apps|education|financial services|lending and investments|software,2,1000000,2011-06-01,2015-11-03,2016-10-20,,-,,,http://www.facebook.com/flat6labs,https://www.crunchbase.com/organization/flat6labs,https://www.crunchbase.com/organization/flat6labs/primary-image/raw,http://public.crunchbase.com/t_api_images/v1476972109/jbycx27j3ywtevtciqcc.png,https://www.twitter.com/flat6labs,392268c3-8e74-6066-7783-9d19f5e80411,2011-06-08 22:07:22,2016-10-20 14:03:45.601687
Hipcask,company,hipcask.com,http://www.hipcask.com/,IND,,Mumbai,Mumbai,400 053,"21/22 T4, Link Garden Towers, Oshiwara, Andheri (W)",operating,"Hipcask is a smartphone application that enables users to discover wines, whiskies, and beers.",apps,apps|software,1,,2012-01-01,2016-10-20,2016-10-20,,1-10,info@hipcask.com,,https://www.facebook.com/hipcask,https://www.crunchbase.com/organization/hipcask,https://www.crunchbase.com/organization/hipcask/primary-image/raw,http://public.crunchbase.com/t_api_images/v1413955165/wjqsbgdlsk5vwbob0fkt.png,https://www.twitter.com/hipcask,9c4dc690-eada-466e-d55f-3db4144fd97e,2014-10-22 05:19:36,2016-10-20 04:57:36.299629
Hopster TV,company,hopster.tv,http://www.hopster.tv,GBR,,London,London,EC1M 4EH,104d St. John Street,operating,"The only safe and ad-free TV and learning app, just for kids aged 2-6. http://bit.ly/gethopsternow",apps|education|ios|subscription service,apps|education|mobile|platforms|software,2,,2012-01-01,2013-12-01,2016-10-20,,11-50,hello@hopster.tv,447891009543,http://www.facebook.com/hopstertv,https://www.crunchbase.com/organization/hopster-tv,https://www.crunchbase.com/organization/hopster-tv/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397183617/bd29c361fe1ed0041771aea69f23b795.jpg,https://www.twitter.com/hopstertv,3313cf72-8272-187e-c0b2-8de5d55b7897,2013-06-07 16:56:55,2016-10-21 06:21:24.824634
Kernel Co.,company,kernel.co,http://kernel.co/,USA,CA,Los Angeles,Los Angeles,,"",operating,"Kernel is a human intelligence company developing the world’s first neuroprosthesis to mimic, repair and improve cognition.",,,1,100000000,2016-01-01,2016-10-20,2016-10-20,,-,,,https://www.facebook.com/kernelco,https://www.crunchbase.com/organization/kernel-co,https://www.crunchbase.com/organization/kernel-co/primary-image/raw,http://public.crunchbase.com/t_api_images/v1476984908/cagnfw5ejjux7wujlfds.jpg,https://www.twitter.com/kernelco,b2ad4b5b-1d18-2aae-9276-ae0c3fb75306,2016-10-20 17:38:09.933959,2016-10-20 17:52:26.774721
Nvoicepay,company,nvoicepay.com,http://www.nvoicepay.com,USA,OR,"Portland, Oregon",Beaverton,97008,"8905 SW Nimbus Ave, Suite 240",operating,Nvoicepay delivers strategic payments solutions to automate accounts payable.,accounting|financial services|fintech,financial services|professional services,8,22091463,2009-01-01,2010-04-12,2016-10-20,,51-100,NVPsales@nvoicepay.com,(877) 974-1750,https://www.facebook.com/nvoicepay,https://www.crunchbase.com/organization/nvoicepay,https://www.crunchbase.com/organization/nvoicepay/primary-image/raw,http://public.crunchbase.com/t_api_images/v1422985666/vqxgulcde52ok0vftcyl.jpg,https://www.twitter.com/nvoicepay,5e45b25f-858d-9eaf-434c-cff42d1eb589,2013-07-04 17:34:02,2016-10-20 09:01:34.503003
NXTP Labs,investor,nxtplabs.com,http://www.nxtplabs.com,ARG,,Buenos Aires,Buenos Aires,C1414DMJ,"Malabia 1720 Entrepiso, Palermo",operating,NXTP Labs is the most active early stage fund for tech companies in Latin America. Acceleration and growth are part of our DNA.,automotive|e-commerce|education|finance|mobile|venture capital,commerce and shopping|education|financial services|lending and investments|mobile|transportation,1,3000000,2011-07-01,2016-10-20,2016-10-20,,-,,,http://www.facebook.com/nxtplabs,https://www.crunchbase.com/organization/nxtp-labs,https://www.crunchbase.com/organization/nxtp-labs/primary-image/raw,http://public.crunchbase.com/t_api_images/v1476971505/oowaayacdulqzjwh8rer.png,https://www.twitter.com/nxtplabs,613faa5f-40f1-2f29-3d86-f1e66eb9159f,2010-09-15 01:49:21,2016-10-20 20:57:58.135929
Pick Protection,company,pickprotection.com,http://pickprotection.com/,GBR,,Glasgow,Glasgow,,The Enterprise Hub 50 Richmond Street,operating,Pick Protection is security & investigation company.,,,2,1004666.75431015,2014-01-01,2015-05-02,2016-10-20,,-,,,https://www.facebook.com/pickprotection/,https://www.crunchbase.com/organization/pick-protection,https://www.crunchbase.com/organization/pick-protection/primary-image/raw,http://public.crunchbase.com/t_api_images/v1477026287/vl6hgyj8kmilzzqou3jn.png,https://www.twitter.com/pickprotection,e239dcb8-3072-17d2-c8ba-66c2e8a2b6b8,2016-10-21 05:04:56.367625,2016-10-21 05:14:05.213871
Propeller Health,company,propellerhealth.com,http://www.propellerhealth.com,USA,WI,Madison,Madison,53703,"634 West Main Street, Suite 102",operating,"Propeller Health is a mobile platform that offers sensors, mobile apps, analytics, and services to support respiratory health management.",analytics|health care|medical,data and analytics|health care,5,49865200,2007-01-01,2012-06-25,2016-10-20,,11-50,hello@propellerhealth.com,(187) 725-1545,http://www.facebook.com/asthmapolis,https://www.crunchbase.com/organization/propellerhealth,https://www.crunchbase.com/organization/propellerhealth/primary-image/raw,http://public.crunchbase.com/t_api_images/v1463142353/wxbufkvzu1t4yzmnb3ek.png,https://www.twitter.com/propellerhealth,85dd6bd7-56ca-416a-cf5f-24546cf42036,2013-04-04 13:28:55,2016-10-20 13:07:07.003215
Securly,company,securly.com,http://securly.com,USA,CA,SF Bay Area,Santa Clara,95054,"2901 Tasman Drive, Suite 107",operating,"Securly is a web filter that enables educators to use instructional tools such as Google, YouTube, and Wikipedia in classrooms.",consumer electronics|edtech|software,consumer electronics|education|hardware|software,2,7000000,2012-01-01,2013-10-23,2016-10-20,,11-50,support@securly.com,408-202-2559,http://www.facebook.com/securlyinc,https://www.crunchbase.com/organization/securly,https://www.crunchbase.com/organization/securly/primary-image/raw,http://public.crunchbase.com/t_api_images/v1457955197/fkr2xzcejxag0go1dyez.jpg,https://www.twitter.com/securlyinc,e7fa5e5b-61fe-5cff-3203-b0041ccfd5f4,2013-10-24 05:24:50,2016-10-20 18:07:54.121008
Simptek Technologies,company,simptekinc.com,https://www.simptekinc.com/,CAN,NB,Fredericton,Fredericton,E3B 1B2,"384 Queen Street, Suite 205 ",operating,Enabling utility companies to better engage,,,1,700000,2014-01-01,2016-10-20,2016-10-20,,11-50,info@simptekinc.com,+116477951555,https://www.facebook.com/simptek/,https://www.crunchbase.com/organization/simptek-technologies,https://www.crunchbase.com/organization/simptek-technologies/primary-image/raw,http://public.crunchbase.com/t_api_images/v1477022600/nzcuuzrvhc5syp1eotji.png,https://www.twitter.com/simptek,fc22c939-0f00-89d6-7c04-132e95141d06,2016-10-21 04:03:26.707703,2016-10-21 06:01:44.751337
Starteed,company,starteed.com,http://www.starteed.com/,ITA,,Turin,Turin,10122,Via Bligny 5,operating,Starteed is a crowdfunding site that helps all people who have an original idea to make it real thanks to the financial and social support,crowdfunding,financial services,2,,2012-01-01,2014-09-01,2016-10-20,,-,,,http://www.facebook.com/starteed,https://www.crunchbase.com/organization/starteed,https://www.crunchbase.com/organization/starteed/primary-image/raw,http://public.crunchbase.com/t_api_images/v1408374469/pel3udo1gpixjmaw2w54.png,https://www.twitter.com/starteed,77e6bb07-93af-b43f-8329-b6d852ac2cf9,2012-08-16 23:21:18,2016-10-20 10:57:30.59437
Terra Solar,company,terrasolar.ie,http://www.terrasolar.ie/,IRL,,Dublin,Dublin,,Terra Solar Limited NovaUCD Belfield,operating,Terra Solar is at the forefront of solar energy development,,,1,2743107.94129749,,2016-10-20,2016-10-20,,-,hello@terrasolar.ie,(017)163-790,,https://www.crunchbase.com/organization/terra-solar,https://www.crunchbase.com/organization/terra-solar/primary-image/raw,http://public.crunchbase.com/t_api_images/v1476940008/hkohjiejeaozh6721wl2.png,,8e714711-e8fa-6df4-06cf-2b30af648723,2016-10-20 05:09:46.527012,2016-10-20 14:24:54.139867
The Student Hub,company,thestudenthub.co,http://thestudenthub.co/,ZAF,,Cape Town,Cape Town,7945,"458 Main Road Observatory, Western Cape ",operating,Join The Textbook Evolution,,,1,301220.876901785,2015-04-01,2016-10-20,2016-10-20,,11-50,helpme@thestudenthub.co,(021)447-3779,https://www.facebook.com/thestudenthub.co/,https://www.crunchbase.com/organization/the-student-hub,https://www.crunchbase.com/organization/the-student-hub/primary-image/raw,http://public.crunchbase.com/t_api_images/v1477040172/xruzq7wfunigzurqn7kr.png,,2e4fd3bd-8c6d-ceb2-a48d-a821da8792e3,2016-10-21 08:56:16.3089,2016-10-21 09:23:14.676135
TravelBank,company,travelbank.com,http://travelbank.com/,USA,CA,SF Bay Area,San Francisco,,80 South Park St.,operating,TravelBank develops a travel and expense system targeting small to medium businesses.,,,1,10000000,2015-01-01,2016-10-20,2016-10-20,,-,press@travelbank.com,,https://www.facebook.com/travelbankhq/,https://www.crunchbase.com/organization/travelbank,https://www.crunchbase.com/organization/travelbank/primary-image/raw,http://public.crunchbase.com/t_api_images/v1476972502/yifvxswo9cuk99euxmsh.png,https://www.twitter.com/travelbankhq,bcf5f17b-ae10-4d28-e5d7-4b6a67f7bbb4,2016-10-20 14:14:07.608516,2016-10-21 19:10:31.862668
Triseum,company,triseum.com,http://triseum.com/,USA,TX,TX - Other,Bryan,77803,214 N. Main St.,operating,Triseum is a game-based learning company blending cutting edge video game experiences with deep education expertise,education|gaming|video games,education|gaming,2,3430000,2014-01-01,2016-06-01,2016-10-20,,11-50,info@triseum.com,(979)773-8909,https://www.facebook.com/triseum/?fref=nf,https://www.crunchbase.com/organization/triseum,https://www.crunchbase.com/organization/triseum/primary-image/raw,http://public.crunchbase.com/t_api_images/v1464845183/c30ar9r20tbf3zrhbhsu.png,https://www.twitter.com/triseum,fa3b1ad4-d27f-33f0-ccff-5f74c6e9fc1c,2016-06-02 05:26:28.04167,2016-10-21 04:38:36.948157
ULU,company,ulu.io,http://www.ulu.io,NLD,,Eindhoven,Eindhoven,5656 AE,High Tech Campus 1E,operating,"ULU It is marriage of hardware, software, cloud intelligence and services, that will revolutionize the way we interact with our car.",automotive|mobile,mobile|transportation,4,1891630.21239556,2014-12-01,2014-10-06,2016-10-20,,11-50,info@ulu.io,+31346715258,https://www.facebook.com/ulu.io,https://www.crunchbase.com/organization/ulu,https://www.crunchbase.com/organization/ulu/primary-image/raw,http://public.crunchbase.com/t_api_images/v1423480899/rvpokpkpn74hhuen8av7.jpg,https://www.twitter.com/driveulu,f3c446ac-a246-4159-2b38-97af25a69bed,2015-02-09 11:16:46,2016-10-20 14:18:02.123117
Undo,company,undo.io,http://undo.io/,GBR,,London,Cambridge,CB5 8LA,"Undo Software, 9 Signet Court, Swann Road",operating,Undo's unique recording and reversible debugging technology lets developers know exactly what their software did.,software,software,4,6550000,2012-01-01,2012-05-27,2016-10-20,,11-50,info@undo.io,,,https://www.crunchbase.com/organization/undo-software,https://www.crunchbase.com/organization/undo-software/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397196780/45e5cc79007654db550c6037c4fa3165.png,https://www.twitter.com/undosoft,3e8132f9-67b4-7731-f873-7a0624d32175,2012-05-28 08:34:09,2016-10-20 12:36:56.393765
