uuid,description
2e4fd3bd-8c6d-ceb2-a48d-a821da8792e3,"The Student Hub will publish e-books with links to other resources, while students will also be able to react to content when they are confused or find it difficult. ERAOnline will allow them to send comments and messages to authors, publishers and peers, and every student will be connected with a subject expert to assist them when they get stuck."
e94407ea-d3a5-0f75-f3d0-30ab8a43ac44,"We reduce the time it takes to commercialize vital medications by delivering validated, easily extended RTSM capabilities faster than anyone in the world."
2107422d-5877-013e-f7dc-b92d94173b76,"ActoFit is a wearable tech startup that helps active lifestyle people keep a better granular track of their fitness. With a strong algorithm core, the products can track and keep logs of all kind of activities inside the gym, at the crossfit studios, while running, or even sleeping, and provide accurate heart rate metrics throughout the day."
711bdeac-3cb7-c7ba-d4c8-5b9ff4b1b37a,"BlackThorn Therapeutics is a clinical-stage biopharmaceutical company that uses a novel and robust platform (INFORM™) to link behavioral deficits with brain physiology to discover and develop targeted treatments for neurobehavioral disorders. We envision a future where patients with neurobehavioral disorders are quickly recognized, accurately diagnosed and effectively treated."
5e45b25f-858d-9eaf-434c-cff42d1eb589,"Nvoicepay delivers strategic payments solutions to automate accounts payable. We enable customers to pay 100% of their invoices electronically, while realizing the financial benefits of payment optimization. 

By paying the right suppliers with the right payment type at the right time, our cloud based technology and vendor payment services help customers reduce costs, increase efficiencies and maximize card rebates, all with minimal effort. 

Nvoicepay transforms accounts payable departments from cost centers into strategic partners."
c331dd1f-f18c-5e80-2105-ede74c824b6c,"ZappiStore is the online research provider that is changing the way that companies are accessing insight. Business is changing, needing to be increasingly responsive to shifts in the market and demanding ever-tighter deadlines, but market research has failed to keep pace. We provide an automated, self-service platform for buying research services – at lightning fast speed, low cost and of highest quality.

ZappiStore’s revolutionary system offers true agile insight; no briefs and no proposals mean that you can test early and test often at key instances in the production process. We have partnered with the world’s leading research agencies to offer off-the shelf products targeted at business issues, from new product development, to pack testing, creative testing or social media monitoring."
2d9667bc-823f-1e88-ac66-9f5f62f55a64,"Verdigris Building.AI is cloud analytics software for enterprise facilities managers and large commercial buildings. It allows them to optimize operations, increase facility uptime, and save on energy costs.

They spend 90% of their time in buildings. They are the single largest consumer of electricity in the world yet more than half is wasted. ($400B @ $.10kwh)

The building universe is stuck in 1970. Engineers walk the floors to see if lights are out; use clipboards to log equipment maintenance, install single point meters, read dials, and rarely go beyond the 15 min whole building PG&E data. Facilities operations, CFOs, and Sustainability officers all claim they need better access to data and modern analytics.

Building.AI is a sophisticated machine learning analytics SAAS platform and embedded wireless sensor that enables real-time identification, disaggregation, and analysis of the loads in buildings, providing unprecedented insights about behavior and usage."
33f309bf-8fb7-f9ac-aa67-ab21ce904dab,Wilderness Safaris is widely acclaimed as the continent’s foremost ecotourism operator. We give our guests life-changing journeys in some of the most remote and pristine areas in Africa and in so doing help conserve Africa’s spectacular biodiversity and share ecotourism’s benefits with rural people.
fc22c939-0f00-89d6-7c04-132e95141d06,"SimpTek helps consumers and utility companies better understand, engage, and predict their energy usage. SimpTek gives you an energy saving experience that is simple and easy. No longer will you have to wonder how you spend energy, or why your home seems inefficient. With SimpTek's software, the Nebo dashboard, you will be able to have real-time knowledge of your energy usage. Nebo will help you through your energy saving journey, and he'll help you make the world and cleaner and greener place."
29aba40e-c037-1937-ed5f-bd84b89ba336,"The Finrise mission is to increase the accessibility of quality healthcare through a suite of transparent financial products, starting with patients of dental, vision, audiology and veterinary services.

Patients deserve better, which is why we’re committed to putting patient empowerment and customer service at the forefront of healthcare lending. Every day, patients receive instant and transparent term loans right in the doctor's office onto their phones. To expand reach, Finrise looks beyond simple FICO scores, which were created over 30 years ago in an era before smartphones and internet access.

Finrise empowers doctors to treat without the limitation of affordability. By combining care, coverage, and change, we’re building a solution that doctors prefer for their patients."
bcf5f17b-ae10-4d28-e5d7-4b6a67f7bbb4,TravelBank develops a travel and expense system targeting small and medium businesses. The software predicts expenses and gives cash rewards if users come in under budget.
b7504f9f-8397-b921-b847-3f6da3a11f4e,"Solutions infini. basically a company which is presently working in the mobile world.
we already know that mobile world is so vast and it relates with so many things like sms, bulk sms, sms sending software, mobile location finder software e.t.c.
its my natural view that solutions infini is a great service provider on those kind field.

It provides mass sms, bulk sms, sms gateway services towards the global users.
mobile marketing is a another field which is driven by solutions infini also."
8a2cd511-190e-506a-aee5-96a5582c6f1b,"Notion is an artificial intelligence that improves how people communicate by prioritizing important messages. Notion engages in data backup, cloud storage, group chat, file sharing, and CRM."
f9d73d3b-177c-21ad-1cad-366af1f94df4,"Bumpers develops an iOS app that allows users to make apodcast direct from their mobile devices, using the phone's built-in microphones."
e7fa5e5b-61fe-5cff-3203-b0041ccfd5f4,"Securly is the first web filter that has been designed from the ground up for schools. It is completely cloud based, takes five minutes to set up per district and costs a fraction of the enterprise solutions that schools are forced to pay for today. We solve the problem of ""over blocking"" in schools by allowing educators to safely use 21st century instructional tools such as Google, YouTube and Wikipedia in the classroom."
b2ad4b5b-1d18-2aae-9276-ae0c3fb75306,"Kernel is a human intelligence company developing the world’s first neuroprosthesis to mimic, repair and improve cognition."
fa3b1ad4-d27f-33f0-ccff-5f74c6e9fc1c,"Triseum grew out of the LIVE Lab at Texas A&M University which is why education will always remain at the heart of this gaming company. Since then, we’ve partnered with industry leading experts in gaming and instructional design dedicated to building the highest quality educational video games. The approach we take towards product design and development demonstrates a bias towards creating world class digital experiences that profoundly impact students. For us at Triseum, our bold curiosity means pushing the boundaries of what educational games are all about. Staying true to our core values in digital excellence has helped us create a company we’re proud to call our own."
173c5854-80f4-bd91-977d-dd4445cdf0fd,"Emulate, Inc. is a private company focused on commercializing Organs-on-Chips as an automated human bioemulation platform that achieves a new standard for mimicking true human physiology so that responses to medicines, chemicals and diseases can be accurately predicted. Through co-innovation with collaborators and internal programs, Emulate is advancing product innovation, design and safety across a range of applications in drug development, personalized medicine, agriculture and chemical-based consumer products."
56ea3d53-bc8c-fec3-c65b-925f4d80db17,"Cardiogram lets you analyze and graph heart rate measurements from the Health app (requires a device with a heart rate monitor).  With Cardiogram you can see how your heart reacts during an intense workout, track changes to your resting heart rate, track spikes to your heart rate elated to stress, diet or exercise.  Users can also share graphs of their heart rate via email, Twitter or Facebook. 

Cardiogram is used for apple watch and android wear."
8e714711-e8fa-6df4-06cf-2b30af648723,"Terra Solar is at the forefront of solar energy development in Ireland, helping the country lead the way in developing renewable energy sources and increasing its energy independence."
0b723098-d24e-f252-11a6-61a67b72531f,"USRealty.com provides an online real estate platform to sell and buy homes. With real estate brokerage licenses in 33 states, USRealty.com provides online tools that enable homeowners, portfolio managers and institutional investors to list properties and choose the commissions they pay to buyers’ agents."
159bdc91-daa4-b112-98db-cc054020c259,"Matahari Mall is an Indonesian e-commerce platform that covers the fashion, health and beauty, electronics, home, groceries, books, and entertainment industries.

Matahari Mall was launched in 2015 and is based in Jakarta, Indonesia."
45c2d282-c289-0347-5d4d-67a068d7e6a2,"The SPARK Schools model combines highly engaging classroom teaching, individual instruction in the Learning Lab, partnership with families and the community, and dedicated professional development for teachers and school leaders to facilitate student achievement. SPARK Schools students prepare for university and successful careers by excelling academically, practicing creative thinking skills, and demonstrating core values that emphasize cooperative citizenship and love of learning."
f3c446ac-a246-4159-2b38-97af25a69bed,"ULU It is marriage of hardware, software, cloud intelligence and services, that will revolutionize the way we interact with our car."
c5019228-8d89-0c4b-3d5a-16b9e9c379bb,"CourseStorm is impossibly simple online course registration software. Organizations offering courses can create a simple online catalog, upload courses, and begin taking registrations in just minutes. Their students will have a friendly, usable website to browse, search, and register for course offerings."
266be32a-2ae7-87ff-4dcc-5672d4a54641,"Capricor Therapeutics, Inc. (Nasdaq:CAPR), is a biotechnology company focused on the discovery, development and commercialization of first-in-class therapeutics. As a developer of innovative therapies, Capricor Therapeutics is strategically positioned at the forefront of one of the largest segments of the U.S. healthcare industry − cardiovascular disease. Capricor Therapeutics’ lead product candidates currently target the prevention and treatment of heart failure and “myocardial infarction”, which make up a substantial portion of the $204.4 billion total estimated annual costs of cardiovascular disease in the U.S. Our lead cardiovascular programs target post myocardial infarction"
ebf1b549-40cb-fbe4-b5a8-2c706dee7d59,"Contorion is an online store for industrial and trade supply. The extensive assortment covers a wide range of product categories, from screws to electrical and hand tools to work clothes of many renowned manufacturers. With high user-friendliness, a professional customer service and short delivery times Contorion would like to be the one-stop shop for business and private customers. The company was founded by Dr. Frederick Roehder, Richard Schwenke and Tobias Tschötsch in Berlin in the spring of 2014. More information on http://www.contorion.de/"
9c4dc690-eada-466e-d55f-3db4144fd97e,"Hipcask is a smartphone application that enables users to discover wines, whiskies, and beers. The application enables users to measure a likability factor, pair wines with foods, get and add tasting notes, get notifications about new launches, and more. It was launched by Aneesh Bhasin and is based in Mumbai, India."
f706b85f-2680-f695-a6c9-6e8cb6bc6e72,"WeShop is a consumer network, currently in beta, that will facilitate more effective communication between consumers, merchants, and vendors."
9d7e89a4-a4cf-452c-a36b-c457aafcfc8f,"Makerist ist the leading DIY and handicraft platform in Europe and offers its customers more than 100 video classes, thousands of supplies and boundless inspiration to start their project."
6980f0c9-b6ad-aeaf-2549-e5b7acab5ede,"So Good Brand is a better-for-you food and beverage company with a mission to make healthy options more accessible to those looking to live a more vibrant, active life. We offer wholesome, healthy, delicious products in over 150 locations; at our own So Good cafes, juice truck and website online store, and through wholesale partnerships with grocery stores, co-ops, cafes, health clubs, and fitness and yoga studios. Focused on constant innovation and dedicated to impeccable quality and safety standards, we are a trusted resource for health and wellness to our customers. Our state-of-the-art production kitchen is GMP and Organic Certified."
7a551f83-f2a8-1fb9-8758-f4a42671e037,B2B platform in China's alcoholic industry
bf439965-9b7e-fd12-197f-40924b071fc3,"Kayentis, SAS provides data and real-time information capture and collection solutions. It offers Digital Pen Paper (DPP) solutions for the clinical trial industry. The company also provides Clin'Form that allows data written using a DPP to be recorded in an information system and shared via a Web portal. It serves life sciences, finance, and manufacturing markets. 

The company was incorporated in 2004 and is headquartered in Gif sur Yvette, France."
